Text,label
for nearly 20 years bagram airfield was the heart of american military power in afghanistan its imminent after nearly 20 years usa to leave bagram,1
taliban overrun afghan base capture troops as usa our hashtag 2020 fwn freeworldnews today,1
kabul on high alert as usa extends deadline for removing troops from afghanistan bobryze worldnews,1
usa and nato start to formally withdraw troops from afghanistan,1
china blames abruptÃ£Â¢Ã¢ÂÃ¢Â usa withdrawal for violence in afghanistan,1
afghanistan 255 killed and over 500 injured in 200 blasts and 15 suicide attacks amidst ramzan via,1
15 suicide attacks 255 civilians killed in afghanistan duringÃ£Â¢ ramzan,1
pakistan bans inbound pedestrian movt from afghanistan iran,1
afghanistans last jew plans to leave amid fears of taliban return latestnews news afghanistan afg,1
overnight defense top general drops objection to a major change in prosecuting military sexual assault supreme court declines to take up a case from former west point cadet jusatice pentagon says small attacks not affecting afghanistan withdrawal,1
taliban seize district on outskirts of kabul,1
taliban continue to capture territory as usa forces leave afghanistan,1
usa contractors in afghanistan are hiring amid withdrawal the department of defense currently employs more than 16000 contractors in afghanistan of whom 6147 are usa citizens Ã£Â¢Ã¢ÂÃ¢Â more than double the remaining usa troops Ã£Â¢Ã¢ÂÃ¢Â¦scottadamssaysÃ£Â¢Ã¢ÂÃ¢Â©,1
25 taliban militants killed 10 injured following clashes with security forces in baghlanemarkazi baghlan afghanistan terrorism insurgency,1
usa military continues afghanistan withdrawal undeterred by brood x cicada uprising,1
the ttp and alqaeda leadership have sworn allegiance to afghantaliban leader mullah haibatullah akhundzada both groups have close ideological and organizational ties with their afghan ally,1
afghanistan flag for afghanistan headline afghanistan times parliament wants usa to assess afghanistan situation prewithdrawal,1
bomb explosion today 700 pm on baghlan jadid police hq after heavy fighting between government taliban while shahre kohna area is now under control of taliban since 2 weeks,1
85 dead in afghanistan with a large number of childrengirls and targeted because they were shia,1
at least 85 people were found dead and 147 people injured,1
taliban insurgents capture a key district just outside the afghan capital kabul in central wardak province forcing government forces to retreat say security officials,1
allies leaving rapidly as nato ends afghanistan trainingÃ£Â¢ mission,1
new video message from the islamic emirate of afghanistan Ã£Â¢Ã¢ÂÃ¢Â150 troops detained maidan wardak releasedÃ£Â¢Ã¢ÂÃ¢Â,1
seven civilians killed in mortar attack in faryab ariananews afghanistan faryab taliban mortar,1
afghan moi claimed andsf destroyed two drug factories in sof operations in bakwa farah afghanistan,1
taliban warns nearby nations against hosting usa military after withdrawal reuters,1
small orange diamond taliban warns neighboring countries against hosting usa troops says it be great historic mistake small orange diamond the group says they will not remain silent small orange diamond warning warning comes after usa said they in talks with afghan neighbors for basing usa troops,1
pakistan strongly condemns attacks at a school in kabul afghanistan,1
taliban in shahagha district of kandahar province afghanistan via,1
usa central command said in a statement this week that it has completed between 1320 of the withdrawal from afghanistan and without any major taliban attacks,1
meanwhile two security force bases fell to the taliban in the shahrekohna area of baghlanemarkzai district in baghlan province in afghanistan on wednesday night cve,1
removal of all contractors from afghanistan underway pentagon chief,1
on afghanistan chairman gen mark milley said the equivalent of 60 c17 loads of equipment have been flown out of the country so far and another 1300 pieces of equipment turned over to the afghan forces or to the defense logistics agency for destruction,1
children among at least 55 killed in afghanistan school bomb attack,1
afg today in logar province only taliban killed abdul manan sayedi head of economy department of logar taliban killed a manager of afg bank taliban killed 4 nds officersandinjured another after their car was stopped in a taliban checkpoint on kabulpaktia highway pixsm,1
afghan taliban declares threeday ceasefire for eid celebration this week spokesman,1
2 afghan soldiers 17 taliban militants killed in clashes,1
americas shadow army is leaving afghanistan too,1
kabul afghanistan ap Ã£Â¢Ã¢ÂÃ¢Â afghan police say bombing hits mosque in northern kabul at least 4 worshipers killed,1
taliban and afghan government negotiators meet in doha the express tribune via,1
formation of supreme state council nearly complete sources afghanistan,1
hamas firing rockets until ceasefire is still on the table afghanistan security,1
taliban maintains close ties with al qaeda dia reports fdds long war journal,1
bomb hits university bus in afghanistan killing 4 via,1
a mortar bomb fired by the taliban struck a wedding ceremony in a province north of the afghan capital killing at least six people including women and children officials confirm,1
a wave of afghan surrenders to the taliban picks up speed,1
taliban launches huge offensive in afghanistans helmand province,1
everlying trump was the only usa president to publicly tell american people the naked truth about pakistani states central duplicitous role in americas endless afghan war when he tweetedÃ£Â¢ on jan 1 2018 that the united states has foolishly given,1
protest was carried out today in washington dc demanding the us tostop funding terror sponsoring states and asked paksitan to stop supporting the proxy war in afghanistan,1
pakistan has allowed the usa military to have overflight and access to be able to support its presence in afghanistan a top pentagon official has told lawmakers,1
